pid,position,name,throwing_errors,catching_errors,assists,putouts,innings_played,errors,defensive_chances,fielding_percentage
58966,relief,Tom Nicol,1,0,0,0,5.999999999999998,1,1,0.0
43617,starter,Darrion Smith,5,0,0,0,5.999999999999998,5,5,0.0
58370,catcher,John Benzschawel,0,0,0,0,12.000000000000004,0,0,
47666,shortstop,Bob Small,0,1,0,0,12.000000000000004,1,1,0.0
39758,centerfield,Dave Eckert,0,0,0,0,12.000000000000004,0,0,
37689,leftfield,Benny Powell,0,0,0,0,12.000000000000004,0,0,
51817,secondbase,Delos Echols,0,2,0,0,12.000000000000004,2,2,0.0
45013,rightfield,Oil Can Vardell,0,0,0,0,12.000000000000004,0,0,
55204,firstbase,Jerry Johnson,0,2,0,0,12.000000000000004,2,2,0.0
66286,thirdbase,Teyo Miraldi,0,0,0,0,12.000000000000004,0,0,
