pid,teamname,position,name,games_started,game_appearances,at_bats,plate_appearances,runs,singles,doubles,triples,homeruns,stolen_bases,caught_stealing,walks,strikeouts,hbp,ibb,bases,hits,totalbases,avg,obp,slg,ops
55577,SF,catcher,Jared Harris,3,3,14,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,0.0,0.0
55820,SF,designatedhitter,John Williams,3,3,14,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0
66117,SF,secondbase,Stephen Smith,3,3,15,4,1,0,0,0,1,0,0,0,3,0,0,0,1,4,0.067,0.067,0.267,0.334
45348,SF,rightfield,Tony Everett,3,3,14,4,1,0,0,0,1,0,0,0,8,0,0,0,1,4,0.071,0.071,0.286,0.357
63233,SF,shortstop,Karlos Smith,3,3,13,4,1,0,0,0,1,0,0,1,4,0,0,1,1,4,0.077,0.143,0.308,0.451
61452,SF,centerfield,A.J. Oswalt,3,3,15,5,1,0,0,0,1,0,0,0,5,0,0,0,1,4,0.067,0.067,0.267,0.334
53116,SF,firstbase,John Redmond,3,3,17,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0
45707,SF,thirdbase,Steve Delong,3,3,14,4,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0.0,0.067,0.0,0.067
53288,SF,leftfield,Logan Stephens,3,3,14,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0
58370,SD,catcher,John Benzschawel,3,3,17,5,3,1,0,0,3,0,0,0,2,0,0,0,4,13,0.235,0.235,0.765,1.0
47666,SD,shortstop,Bob Small,3,3,15,5,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0.0,0.062,0.0,0.062
39758,SD,centerfield,Dave Eckert,3,3,17,4,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0.0,0.056,0.0,0.056
37689,SD,leftfield,Benny Powell,3,3,16,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
51817,SD,secondbase,Delos Echols,3,3,16,5,1,1,0,0,1,0,0,1,3,0,0,1,2,5,0.125,0.176,0.312,0.488
45013,SD,rightfield,Oil Can Vardell,3,3,15,4,1,0,0,0,1,0,0,0,2,0,0,0,1,4,0.067,0.067,0.267,0.334
44251,SD,designatedhitter,Glenn Jones,3,3,17,5,2,0,0,0,2,0,0,0,2,0,0,0,2,8,0.118,0.118,0.471,0.589
55204,SD,firstbase,Jerry Johnson,3,3,12,4,4,0,0,0,3,0,0,3,0,0,0,3,3,12,0.25,0.4,1.0,1.4
66286,SD,thirdbase,Teyo Miraldi,3,3,14,5,1,0,0,0,0,0,0,1,7,0,0,1,0,0,0.0,0.067,0.0,0.067
