ID,Inning,Inning Half,Home Team,Home Score,Away Team,Away Score,Ball Count,Strike Count,Out Count,Outs this Action,Batter,Pitcher,Outcomes,Batted Ball,Air or Ground,Targeted Defender,Defensive Outcome,Error List,Defensive Actions,On First,On Second,On Third,Home,Is_Walk,Is_Strikeout,Is_InPlay,Is_Hit,Is_HBP,Is_Pickoff,Is_StealAttempt,Is_StealSuccess,Error_Count,Is_Liveball,Is_Single,Is_Double,Is_Triple,Is_Homerun,AB_Over,Catcher,First Base,Second Base,Third Base,Shortstop,Left Field,Center Field,Right Field
2,1,TRUE,SF,0,SD,0,0,2,0,0,centerfield Dave Eckert,starter Neal Asiodu,"['burner', 'far left', 'Curveball']",,,,double,[],[],,centerfield Dave Eckert,,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
6,1,TRUE,SF,0,SD,0,2,1,0,0,designatedhitter Glenn Jones,starter Neal Asiodu,"['flare', 'dead center', 'Change Up']",,,,single,[],[],designatedhitter Glenn Jones,,centerfield Dave Eckert,[],FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
7,1,TRUE,SF,0,SD,3,0,0,0,0,catcher John Benzschawel,starter Neal Asiodu,"['barrel', 'far left', 'Four-Seam Fastball']",,,,homerun,[],[],,,,"[catcher John Benzschawel, designatedhitter Glenn Jones, centerfield Dave Eckert]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
11,1,TRUE,SF,0,SD,3,1,2,0,1,secondbase Delos Echols,starter Neal Asiodu,"['solid', 'center left', 'Change Up']",,,,out,[],['Ball caught by shortstop Karlos Smith'],,,,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
13,1,TRUE,SF,0,SD,3,0,1,1,0,leftfield Benny Powell,starter Neal Asiodu,"['burner', 'far right', 'Curveball']",,,,double,[],[],,leftfield Benny Powell,,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
14,1,TRUE,SF,0,SD,3,0,0,1,1,shortstop Bob Small,starter Neal Asiodu,"['barrel', 'far left', 'Sinker']",,,,out,[],['Ball caught by leftfield Logan Stephens'],,leftfield Benny Powell,,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
15,1,TRUE,SF,0,SD,3,0,0,2,1,thirdbase Teyo Miraldi,starter Neal Asiodu,"['solid', 'right', 'Sinker']",,,,out,[],['Ball caught by rightfield Tony Everett'],,leftfield Benny Powell,,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
17,1,TRUE,SF,0,SD,3,0,1,3,0,rightfield Oil Can Vardell,starter Neal Asiodu,"['solid', 'dead center', 'Sinker']",,,,single,[],[],rightfield Oil Can Vardell,,leftfield Benny Powell,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
18,1,TRUE,SF,0,SD,3,0,0,3,1,firstbase Jerry Johnson,starter Neal Asiodu,"['flare', 'left', 'Change Up']",,,,out,[],['Ball caught by shortstop Karlos Smith'],rightfield Oil Can Vardell,,leftfield Benny Powell,[],FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,catcher Jared Harris,firstbase John Redmond,secondbase Stephen Smith,thirdbase Steve Delong,shortstop Karlos Smith,leftfield Logan Stephens,centerfield A.J. Oswalt,rightfield Tony Everett
24,1,FALSE,SF,0,SD,3,0,0,0,0,centerfield A.J. Oswalt,starter Darrion Smith,,,,,unsuccessful pickoff,[],"[""starter Darrion Smith's throw caught by firstbase Jerry Johnson starter Darrion Smith throws it to firstbase Jerry Johnson""]",firstbase John Redmond,,,[],FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,catcher John Benzschawel,firstbase Jerry Johnson,secondbase Delos Echols,thirdbase Teyo Miraldi,shortstop Bob Small,leftfield Benny Powell,centerfield Dave Eckert,rightfield Oil Can Vardell
